id_producto,nombre,nombre_normalizado,sku,descripcion,descripcion_enriquecida,precio,costo,ganancia_unitaria,margen_pct,markup_ratio,valor_inventario,segmento_precio,rentabilidad,categoria,proveedor,lead_time_dias,stock_actual,stock_minimo,stock_maximo,punto_reorden,estado_stock,demanda_diaria_est,dias_cobertura,unidades_a_pedir
1,Scrapy,Scrapy,SCRAPY,A high-level Web Crawling and Web Scraping framework,"[Tecnología] A high-level Web Crawling and Web Scraping framework — Proveedor: dangra, kmike, pablohoffman",75600.0,45200.0,30400.0,40.21,1.673,17992800.0,Económico,Baja,Tecnología,"dangra, kmike, pablohoffman",10,238,47,714,59,OK,66.7,3.6,476
2,selenium,Selenium,SELENIUM,Official Python bindings for Selenium WebDriver,"[Accesorios] Official Python bindings for Selenium WebDriver — Proveedor: Corey.Goldberg, David.Burns, diemol",140400.0,61500.0,78900.0,56.2,2.283,70200000.0,Medio,Alta,Accesorios,"Corey.Goldberg, David.Burns, diemol",10,500,100,1500,125,OK,140.0,3.6,1000
3,beautifulsoup4,Beautifulsoup4,BEAUTIFULSOUP4,Screen-scraping library,"[Ropa] Screen-scraping library — Proveedor: leonard, leonard",143100.0,69400.0,73700.0,51.5,2.062,35918100.0,Medio,Media,Ropa,"leonard, leonard",6,251,50,753,62,OK,117.17,2.1,502
4,httpx,Httpx,HTTPX,The next generation HTTP client.,"[Tecnología] The next generation HTTP client. — Proveedor: florimondmanca, tomchristie, yeraydiazdi",489200.0,293300.0,195900.0,40.04,1.668,221607600.0,Premium,Baja,Tecnología,"florimondmanca, tomchristie, yeraydiazdiaz",13,453,90,1359,113,OK,97.62,4.6,906
5,aiohttp,Aiohttp,AIOHTTP,Async http client/server framework (asyncio),"[Tecnología] Async http client/server framework (asyncio) — Proveedor: Andrew.Svetlov, bdraco, Dreamsorcerer",231900.0,100200.0,131700.0,56.79,2.314,53105100.0,Premium,Alta,Tecnología,"Andrew.Svetlov, bdraco, Dreamsorcerer",5,229,45,687,57,OK,128.4,1.8,458
6,pandas,Pandas,PANDAS,"Powerful data structures for data analysis, time series, and statistics","[Coleccionables] Powerful data structures for data analysis, time series, and statistics — Proveedor: jorisvandenbossche, jreback1, mroeschke",314600.0,192900.0,121700.0,38.68,1.631,4719000.0,Premium,Baja,Coleccionables,"jorisvandenbossche, jreback1, mroeschke",15,15,3,45,3,OK,2.8,5.4,30
7,numpy,Numpy,NUMPY,Fundamental package for array computing in Python,[Coleccionables] Fundamental package for array computing in Python — Proveedor: Travis E. Oliphant et al.,86500.0,52600.0,33900.0,39.19,1.644,7698500.0,Medio,Baja,Coleccionables,Travis E. Oliphant et al.,10,89,17,267,22,OK,25.0,3.6,178
8,matplotlib,Matplotlib,MATPLOTLIB,Python plotting package,"[Tecnología] Python plotting package — Proveedor: John D. Hunter, Michael Droettboom",173900.0,110700.0,63200.0,36.34,1.571,33736600.0,Medio,Baja,Tecnología,"John D. Hunter, Michael Droettboom",9,194,38,582,48,OK,60.44,3.2,388
9,scikit-learn,Scikit Learn,SCIKIT_LEARN,A set of python modules for machine learning and data mining,"[Coleccionables] A set of python modules for machine learning and data mining — Proveedor: adrin, GaelVaroquaux, glemaitre",119300.0,72900.0,46400.0,38.89,1.636,19445900.0,Medio,Baja,Coleccionables,"adrin, GaelVaroquaux, glemaitre",6,163,32,489,40,OK,76.17,2.1,326
10,statsmodels,Statsmodels,STATSMODELS,Statistical computations and models for Python,"[Coleccionables] Statistical computations and models for Python — Proveedor: bashtage, josefpktd, matthew.brett",340800.0,188600.0,152200.0,44.66,1.807,87585600.0,Premium,Media,Coleccionables,"bashtage, josefpktd, matthew.brett",6,257,51,771,64,OK,120.0,2.1,514
